birth,brand,code,explain,firm_import,firm_madein,image_link,made_in,material,material2,now_price,origin_price,product,star_score,target
2019-10-31,A HAUTE,300801880,Handmade Wool Jacket (Taupe),A HAUTE,A HAUTE / KOREA,nan,KOREA,fabric - wool100 / lining - polyester48 viscos52,fabric - wool100 / lining - polyester48 viscos52,"256,000","320,000",JACKET,0,WOMEN
2019-10-31,A HAUTE,300801802,Suri Alpaca Coat (Beige),A HAUTE,A HAUTE / KOREA,nan,KOREA,suri 51 wool 44 nylon 5,suri 51 wool 44 nylon 5,"448,000","560,000",COAT,0,WOMEN
2019-10-31,A HAUTE,300801108,Suri Alpaca Coat (Dark Navy),A HAUTE,A HAUTE / KOREA,nan,KOREA,suri 51 wool 44 nylon 5,suri 51 wool 44 nylon 5,"448,000","560,000",COAT,0,WOMEN
2019-11-20,A HAUTE,300817019,Suri Alpaca Jumper (Dark Navy),A HAUTE,A HAUTE / KOREA,nan,KOREA,suri 51 wool 44 nylon 5,suri 51 wool 44 nylon 5,"257,600","368,000",JUMPER,0,WOMEN
2019-11-13,A HAUTE,300806695,Demian Dress,A HAUTE,A HAUTE / KOREA,nan,KOREA,polyester 100,polyester 100,nan,"156,000",MAXIS,0,WOMEN
2018-08-01,A.Bell,300510513,Lambswool knit leggings / 램 울 니트 레깅스,A.Bell,A.Bell / KOREA,nan,KOREA,"lambswool 80%, nylon 20%","lambswool 80%, nylon 20%","89,100","99,000",TURTLE-NECK,0,WOMEN
2017-03-20,A.Bell,300313117,17SS WASHED DESTROYED OVERALL_PANTS,A.Bell,A.Bell / KOREA,nan,KOREA,100% cotton,100% cotton,nan,"173,000",JUMPSUIT,0,WOMEN
2016-03-28,A.Bell,300215104,COCO JEAN_PT,A.Bell,A.Bell / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"69,000",STRAIGHT,0,WOMEN
2019-07-01,A.Bell,300707720,String skirt 5,A.Bell,A.Bell / KOREA,nan,KOREA,cotton 70% nylon 27% span 3%,cotton 70% nylon 27% span 3%,nan,"151,000",BLOUSE,0,WOMEN
2019-11-06,A.P.C,300793202,[WOMEN] 18FW ANGELICA CASHMERE KNIT NAVY WVATW-F23740 IAM,(주)엔코드,(주)엔코드 / U.S.A.,nan,U.S.A.,"울 70%, 캐시미어 30%","울 70%, 캐시미어 30%","217,000","465,000",PULLOVER,0,WOMEN
